[12:32:15,014] [INFO] ServerMain.main --> 服务器启动成功!
[12:48:34,008] [INFO] CmdHandlerFactory.<clinit> --> ==== 完成 Cmd 和 Handler 的关联 ====
[12:51:46,388] [INFO] ServerMain.main --> 服务器启动成功!
[12:52:25,784] [INFO] CmdHandlerFactory.<clinit> --> ==== 完成 Cmd 和 Handler 的关联 ====
[12:55:21,948] [INFO] ServerMain.main --> 服务器启动成功!
[12:55:54,253] [INFO] CmdHandlerFactory.<clinit> --> ==== 完成 Cmd 和 Handler 的关联 ====
[13:00:46,207] [INFO] ServerMain.main --> 服务器启动成功!
[13:01:46,669] [INFO] CmdHandlerFactory.<clinit> --> ==== 完成 Cmd 和 Handler 的关联 ====
[13:01:46,727] [INFO] CmdHandlerFactory.<clinit> --> 关联 org.tinygame.herostory.msg.GameMsgProtocol$WhoElseIsHereCmd <==> org.tinygame.herostory.cmdhandler.WhoElseIsHereCmdHandler
[13:01:46,769] [INFO] CmdHandlerFactory.<clinit> --> 关联 org.tinygame.herostory.msg.GameMsgProtocol$UserMoveToCmd <==> org.tinygame.herostory.cmdhandler.UserMoveToCmdHandler
[13:01:46,770] [INFO] CmdHandlerFactory.<clinit> --> 关联 org.tinygame.herostory.msg.GameMsgProtocol$UserEntryCmd <==> org.tinygame.herostory.cmdhandler.UserEntryCmdHandler
[14:17:42,180] [INFO] ServerMain.main --> 服务器启动成功!
[14:25:41,458] [INFO] ServerMain.main --> 服务器启动成功!
